"url","id","label","label_it","label_en","label_de","level"
"461404","46.14.04","Attività di intermediari del commercio all'ingrosso di attrezzature agricole","Attività di intermediari del commercio all'ingrosso di attrezzature agricole","Activities of agents involved in the wholesale of agricultural equipment","Tätigkeiten der Großhandelsvermittlung von landwirtschaftlichen Maschinen und Geräten","6"
"461405","46.14.05","Attività di intermediari del commercio all'ingrosso di navi e aeromobili","Attività di intermediari del commercio all'ingrosso di navi e aeromobili","Activities of agents involved in the wholesale of ships and aircraft","Tätigkeiten der Großhandelsvermittlung von Wasser- und Luftfahrzeugen","6"
"4615","46.15","Attività di intermediari del commercio all'ingrosso di mobili, articoli per la casa e ferramenta","Attività di intermediari del commercio all'ingrosso di mobili, articoli per la casa e ferramenta","Activities of agents involved in the wholesale of furniture, household goods, hardware and ironmongery","Tätigkeiten der Großhandelsvermittlung von Möbeln, Einrichtungs- und Haushaltsgegenständen, Eisen- und Metallwaren","4"
"46150","46.15.0","Attività di intermediari del commercio all'ingrosso di mobili, articoli per la casa e ferramenta","Attività di intermediari del commercio all'ingrosso di mobili, articoli per la casa e ferramenta","Activities of agents involved in the wholesale of furniture, household goods, hardware and ironmongery","Tätigkeiten der Großhandelsvermittlung von Möbeln, Einrichtungs- und Haushaltsgegenständen, Eisen- und Metallwaren","5"
"461501","46.15.01","Attività di intermediari del commercio all'ingrosso di mobili in legno, metallo e materie plastiche","Attività di intermediari del commercio all'ingrosso di mobili in legno, metallo e materie plastiche","Activities of agents involved in the wholesale of furniture made of wood, metal and plastic","Tätigkeiten der Großhandelsvermittlung von Möbeln aus Holz, Metall und Kunststoffen","6"
"461502","46.15.02","Attività di intermediari del commercio all'ingrosso di altri mobili e oggetti di arredamento per la casa","Attività di intermediari del commercio all'ingrosso di altri mobili e oggetti di arredamento per la casa","Activities of agents involved in the wholesale of furniture made of other materials and of home furnishings","Tätigkeiten der Großhandelsvermittlung von sonstigen Möbeln und Einrichtungsgegenständen für den Haushalt","6"
"461503","46.15.03","Attività di intermediari del commercio all'ingrosso di apparecchiature di riscaldamento, ventilazione e condizionamento domestico","Attività di intermediari del commercio all'ingrosso di apparecchiature di riscaldamento, ventilazione e condizionamento domestico","Activities of agents involved in the wholesale of household heating, ventilation and air conditioning equipment","Tätigkeiten der Großhandelsvermittlung von Heiz-, Be- und Entlüftungs- und Klimageräten für den Haushalt","6"
"461504","46.15.04","Attività di intermediari del commercio all'ingrosso di altri articoli per la casa","Attività di intermediari del commercio all'ingrosso di altri articoli per la casa","Activities of agents involved in the wholesale of other household goods","Tätigkeiten der Großhandelsvermittlung von sonstigen Waren für den Haushalt","6"
"461505","46.15.05","Attività di intermediari del commercio all'ingrosso di ferramenta","Attività di intermediari del commercio all'ingrosso di ferramenta","Activities of agents involved in the wholesale of hardware and ironmongery","Tätigkeiten der Großhandelsvermittlung von Eisenwaren","6"
"4616","46.16","Attività di intermediari del commercio all'ingrosso di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle","Attività di intermediari del commercio all'ingrosso di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle","Activities of agents involved in the wholesale of textiles, clothing, fur, footwear and leather goods","Tätigkeiten der Großhandelsvermittlung von Textilien, Bekleidung, Schuhen und Lederwaren","4"
"46160","46.16.0","Attività di intermediari del commercio all'ingrosso di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle","Attività di intermediari del commercio all'ingrosso di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle","Activities of agents involved in the wholesale of textiles, clothing, fur, footwear and leather goods","Tätigkeiten der Großhandelsvermittlung von Textilien, Bekleidung, Schuhen und Lederwaren","5"
"461601","46.16.01","Attività di intermediari del commercio all'ingrosso di tessuti per l'abbigliamento e l'arredamento","Attività di intermediari del commercio all'ingrosso di tessuti per l'abbigliamento e l'arredamento","Activities of agents involved in the wholesale of apparel and furnishing fabrics","Tätigkeiten der Großhandelsvermittlung von Kleidungs- und Heimtextilien","6"
"461602","46.16.02","Attività di intermediari del commercio all'ingrosso di prodotti tessili per la casa e tappeti","Attività di intermediari del commercio all'ingrosso di prodotti tessili per la casa e tappeti","Activities of agents involved in the wholesale of home textile goods and carpets","Tätigkeiten der Großhandelsvermittlung von Textilwaren für den Haushalt und Teppichen","6"
"461603","46.16.03","Attività di intermediari del commercio all'ingrosso di camicie, biancheria intima e articoli simili","Attività di intermediari del commercio all'ingrosso di camicie, biancheria intima e articoli simili","Activities of agents involved in the wholesale of shirts, underwear and similar products","Tätigkeiten der Großhandelsvermittlung von Hemden, Blusen, Unterwäsche u. Ä.","6"
"461604","46.16.04","Attività di intermediari del commercio all'ingrosso di altri articoli di abbigliamento e accessori per l'abbigliamento","Attività di intermediari del commercio all'ingrosso di altri articoli di abbigliamento e accessori per l'abbigliamento","Activities of agents involved in the wholesale of other clothing and clothing accessories","Tätigkeiten der Großhandelsvermittlung von sonstiger Bekleidung und Bekleidungszubehör ","6"
"461605","46.16.05","Attività di intermediari del commercio all'ingrosso di pellicce","Attività di intermediari del commercio all'ingrosso di pellicce","Activities of agents involved in the wholesale of fur","Tätigkeiten der Großhandelsvermittlung von Pelzwaren","6"
"461606","46.16.06","Attività di intermediari del commercio all'ingrosso di calzature","Attività di intermediari del commercio all'ingrosso di calzature","Activities of agents involved in the wholesale of footwear","Tätigkeiten der Großhandelsvermittlung von Schuhen","6"
"461607","46.16.07","Attività di intermediari del commercio all'ingrosso di articoli in pelle e articoli da viaggio","Attività di intermediari del commercio all'ingrosso di articoli in pelle e articoli da viaggio","Activities of agents involved in the wholesale of leather goods and travel accessories","Tätigkeiten der Großhandelsvermittlung von Lederwaren und Reiseartikeln","6"
"4617","46.17","Attività di intermediari del commercio all'ingrosso di prodotti alimentari, bevande e tabacchi","Attività di intermediari del commercio all'ingrosso di prodotti alimentari, bevande e tabacchi","Activities of agents involved in the wholesale of food, beverages and tobacco","Tätigkeiten der Großhandelsvermittlung von Nahrungsmitteln, Getränken und Tabakwaren","4"
